tempo_s;velocidade_m_s
0;0
0,2;0,3141
0,4;0,6279
0,6;0,9411
0,8;1,2533
1;1,5643
1,2;1,8738
1,4;2,1814
1,6;2,4869
1,8;2,7899
2;3,0902
2,2;3,3874
2,4;3,6812
2,6;3,9715
2,8;4,2578
3;4,5399
3,2;4,8175
3,4;5,0904
3,6;5,3583
3,8;5,6208
4;5,8779
4,2;6,1291
4,4;6,3742
4,6;6,6131
4,8;6,8455
5;7,0711
5,2;7,2897
5,4;7,5011
5,6;7,7051
5,8;7,9016
6;8,0902
6,2;8,2708
6,4;8,4433
6,6;8,6074
6,8;8,7631
7;8,9101
7,2;9,0483
7,4;9,1775
7,6;9,2978
7,8;9,4088
8;9,5106
8,2;9,6029
8,4;9,6858
8,6;9,7592
8,8;9,8229
9;9,8769
9,2;9,9211
9,4;9,9556
9,6;9,9803
9,8;9,9951
10;10
